feature,importance
pct_within_4h_all_lag_1,0.3528129197818401
target_roll_mean_3,0.32697128733334613
attendances_over_4h,0.29469036363043555
target_roll_mean_12,0.018270052312105763
pct_within_4h_all_lag_3,0.0034302693939611576
emergency_admissions_lag_1,0.0010137349973012794
month,0.0005489174209637125
attendances_type2,0.0005431845342616843
booked_attendances,0.0005378468723284405
pct_within_4h_all_lag_12,0.00040849760296940066
quarter,0.0003583430619139882
attendances_type1,0.00012010214806986024
total_attendances,0.00010729798910236362
total_attendances_lag_1,6.964178395001647e-05
attendances_type3,5.341283382865677e-05
emergency_admissions_type1,4.2233043924519594e-05
emergency_admissions,1.722819775352194e-05
total_attendances_lag_12,4.667061943909061e-06
crs_period,0.0
year,0.0
covid_period,0.0
